CAN,China,Paradise River,8,47.6182,-54.4315,Hydro,37.93354238
CAN,China,Parker Mountain,2,44.786,-65.4905,Wind,3.714912064
CAN,China,Paton,1.6,45.3994,-71.8996,Hydro,7.586708476
CAN,China,Paugan,226,45.8097,-75.9309,Hydro,1071.622572
CAN,China,Peace Canyon,694,55.9826,-121.995,Hydro,3290.734802
CAN,China,Peace River Pulp,30,56.3711,-117.1856,Biomass,55.69130895
CAN,China,Penn Energy - Brantgate,8,43.049,-80.3883,Solar,8.248488051
CAN,China,Penn Energy - Edwardsburgh Morrisburg-1,9.3,44.7257,-75.4928,Solar,9.58886736
CAN,China,Ruth Falls,7.1,44.9341,-62.5005,Hydro,33.66601886
CHN,China,Binzhou - Datang Coal,700,37.4674,118.047,Coal,3476.518884
CAN,China,Rutherford Creek,49.9,50.2727,-122.867,Hydro,236.6104706
CAN,China,Ryerse,9.1,42.7841,-80.2655,Solar,9.382655158
CAN,China,S.P.C.,38,48.4212,-71.0839,Hydro,180.1843263
CAN,China,SEC Windsor,5.7,45.558,-72.0077,Hydro,27.02764895
CAN,China,SSM 1 (Carpin Rd.),12,46.5236,-84.4456,Solar,12.37273208
CAN,China,SSM 1 (Leigh's Bay Rd.),12,46.5171,-84.4261,Solar,12.37273208
CAN,China,SSM 2/3,45,46.5473,-84.2796,Solar,46.39774529
CAN,China,Sable,13.8,45.3161,-60.9995,Wind,25.63289324
CAN,China,Saint John,29.7,45.2589,-66.0945,Biomass,55.13439586
CAN,China,Saint Rose,2,46.3307,-61.1768,Wind,3.714912064
CAN,China,Saint-Alban,8.2,46.71,-72.0768,Hydro,38.88188094
CAN,China,Tufts Cove,500,44.6782,-63.5946,Gas,1550.433631
CAN,China,Tusket,2.7,43.8821,-65.9778,Hydro,12.80257055
CAN,China,Twin Falls,27.5,48.7468,-80.5817,Hydro,130.3965519
CAN,China,Twin Falls (Iron Ore),225,53.4963,-64.5158,Hydro,1066.880879
CAN,China,Twin Falls (Kagiano),5,49.1899,-86.1172,Hydro,23.70846399
CAN,China,Twin Rivers,39,47.3702,-68.3318,Biomass,72.39870163
CAN,China,Tyson Creek,9,49.8371,-123.6858,Hydro,42.67523518
CAN,China,Témiscouata 1,23.5,47.6363,-69.1225,Wind,43.65021675
CAN,China,Témiscouata 2,51.7,47.6212,-69.1296,Wind,96.03047685
CAN,China,UBC Nexterra Bioenergy Research and Demonstration Facility,2,49.2602,-123.2545,Biomass,3.71275393
CAN,China,UNBC Bioenergy Plant,4.4,53.8926,-122.8149,Biomass,8.168058645
CAN,China,Umbata Falls,23,48.5358,-86.1442,Hydro,109.0589343
CAN,China,Underwood,181.5,44.3416,-81.4533,Wind,337.1282698
CAN,China,Penn Energy - Hamilton Port Hope-4,10,44.0246,-78.1208,Solar,10.31061006
CHN,China,Binzhou - Huji 1-4 Coal,1320,37.3495,117.7784,Coal,6555.721323
CHN,China,Binzhou - Huji 5-8 Coal,1320,37.3588,117.7772,Coal,6555.721323
CHN,China,Binzhou - Weiqiao 1 Coal,240,37.3429,117.8922,Coal,1191.949332
CHN,China,Binzhou - Weiqiao 2 Coal,540,37.3448,117.8921,Coal,2681.885996
CHN,China,Black Point Power Station,2500,22.41,113.91,Gas,4748.360332
CHN,China,Bohe Coal,2000,22.9657,112.1079,Coal,9932.911096
CHN,China,Bulian Coal,1320,39.3012,109.9682,Coal,6555.721323
CHN,China,CECEP Gansu Wuwei,20,38.11,102.27,Solar,193.7478871
CHN,China,CECEP Qinghai Dachaidan,20,37.18,95.309,Solar,193.7478871
CHN,China,CECIC Shizuishan Phase 1,10,39.34,106.74,Solar,96.87394356
CHN,China,CECIC Taiyangshan Phase 1,10,37.5,106.55,Solar,96.87394356
CHN,China,CEFR,20,39.74,116.03,Nuclear,79.3593198
CHN,China,CGN Aletai Ginghe Phase I,20,46.3,90.038,Solar,193.7478871
CHN,China,CGN Damao Bailingmiao,20,41.61,110.4,Solar,193.7478871
CHN,China,CGN Dunhuang,10,40.07,94.518,Solar,96.87394356
CHN,China,CGN Dunhuang Phase II,9,40.11,94.478,Solar,87.18654921
CHN,China,CGN Jinta Hongliuwa,9,39.96,98.993,Solar,87.18654921
CHN,China,CGN Kashi Yingjisha Phase I,20,38.95,75.796,Solar,193.7478871
CHN,China,CTGNE Golmud phase II,20,36.38,95.265,Solar,193.7478871
CHN,China,CTGNE Pishan Phase I,20,37.54,78.249,Solar,193.7478871
CHN,China,CTGNE Shanshan Phase I,20,42.97,89.999,Solar,193.7478871
CHN,China,Caishenliang Wind Inner Mongolia,49,40.795,112.725,Wind,149.9856443
CHN,China,Cangnan Coal,2000,27.4974,120.663,Coal,9932.911096
CAN,China,Penn Energy - Ridgefield,8,44.4433,-78.6864,Solar,8.248488051
CAN,China,Penn Energy - Roseplain,6.5,44.0616,-79.1816,Solar,6.701896542
CAN,China,Penn Energy - S. Glengarry St. Lawrence-1,9.3,45.1066,-74.6822,Solar,9.58886736
CAN,China,Penn Energy - Vandorp,10,43.9459,-78.3877,Solar,10.31061006
CAN,China,Pennask,15,49.9256,-120.1093,Wind,27.86184048
CAN,China,Pentecôte,2,49.7858,-67.157,Hydro,9.483385595
CAN,China,Perpetual Cleanpower Lindsay,10,44.4307,-78.694,Solar,10.31061006
CAN,China,Perpetual Cleanpower Oro 4 Line,10,44.5006,-79.6133,Solar,10.31061006
CAN,China,Peter Sutherlan Sr.,28,49.962,-81.5226,Hydro,132.7673983
CAN,China,Peterborough Robert G. Lake,8,44.3653,-78.2928,Hydro,37.93354238
CAN,China,Petites-Bergeronnes,4.2,48.2614,-69.6265,Hydro,19.91510975
CAN,China,Petty Harbour,4.9,47.4654,-52.7123,Hydro,23.23429471
CAN,China,Pickering A,1084,43.8107,-79.0689,Nuclear,8188.785744
CAN,China,Pickering B,2160,43.8096,-79.0639,Nuclear,16317.13765
CAN,China,Pierre-De Saurel,24.6,45.967,-72.9274,Wind,45.69341839
CAN,China,Pierres Brook,4.3,47.2884,-52.821,Hydro,20.38927903
CAN,China,Pine Creek (Atlin),2.1,59.5825,-133.6448,Hydro,9.957554875
CAN,China,Pine Falls,84,50.5671,-96.1783,Hydro,398.302195
CAN,China,Pine Portage,144,49.3074,-88.3103,Hydro,682.8037629
CAN,China,Pingston Creek,45,50.5501,-117.9484,Hydro,213.3761759
CAN,China,Plateau I / II,18,44.247,-80.3944,Wind,33.43420857
CAN,China,Plateau III,9,44.1886,-80.3088,Wind,16.71710429
CAN,China,Pocaterra,15,50.6993,-115.1194,Hydro,71.12539197
CAN,China,Point Aconi,171,46.3216,-60.3295,Coal,1132.498772
CHN,China,Guangxi Tianlin County Weimi,16,24.2911,104.6928,Hydro,65.61334291
CHN,China,Guangxi Wacun,230,24.1747,105.9683,Hydro,943.1918043
